ID,monthCode,month,year,quantitySales,product_ID
2ab06708-53ee-419b-b4ad-1d4eafe665f7,01,January,2024,140,54244d10-5450-4fa3-b157-20f57943c812
8712cded-ec77-40f4-903f-17e671049a89,09,September,2024,178,54244d10-5450-4fa3-b157-20f57943c812
f0846d8a-476a-4846-93b8-41307d04c84a,04,April,2022,202,54244d10-5450-4fa3-b157-20f57943c812
47c8e503-4621-4cce-9b1d-da86326e99ee,12,December,2023,72,54244d10-5450-4fa3-b157-20f57943c812
834e34dd-1b28-4df0-bb64-b33be4c4cd45,07,July,2022,474,54244d10-5450-4fa3-b157-20f57943c812
f7cbc15e-3363-4286-834f-84f2ff90d084,02,February,2024,374,54244d10-5450-4fa3-b157-20f57943c812
59fbb1a3-5b2b-4e97-9d90-b25d7cb6c388,02,February,2024,71,54244d10-5450-4fa3-b157-20f57943c812
6aa6dc84-0253-44c4-b20e-5de9513a2fa2,08,August,2024,486,54244d10-5450-4fa3-b157-20f57943c812
66761081-fc7c-4319-a3df-96ddc407e957,06,June,2023,431,54244d10-5450-4fa3-b157-20f57943c812
e2249ad6-02d8-4f45-84e1-eadcd0eeee09,12,December,2022,391,54244d10-5450-4fa3-b157-20f57943c812
324de4ea-5663-4ccb-9342-fcd0967dbf95,09,September,2024,44,54244d10-5450-4fa3-b157-20f57943c812
8dc3292d-0823-4750-afdb-24044a10d7a0,01,January,2022,208,54244d10-5450-4fa3-b157-20f57943c812
c6e569d9-81fd-47a9-becf-e2916f3f226a,03,March,2022,223,54244d10-5450-4fa3-b157-20f57943c812
ce0aa375-5b9a-4aa7-9622-ea14b0653b10,01,January,2022,453,54244d10-5450-4fa3-b157-20f57943c812
095c7487-c5b0-4ed6-95de-9c222bb3765a,02,February,2024,390,54244d10-5450-4fa3-b157-20f57943c812
6647bc00-a55c-494a-80fa-f65bcaba94bd,08,August,2024,73,54244d10-5450-4fa3-b157-20f57943c812
a150a360-5a36-47e9-a298-07da4088bd22,06,June,2024,243,54244d10-5450-4fa3-b157-20f57943c812
18f67f1e-3038-42b7-9b71-94c0e682da56,04,April,2023,470,54244d10-5450-4fa3-b157-20f57943c812
5bb49d6b-43b3-400f-8c77-02ac8aed171e,08,August,2024,286,54244d10-5450-4fa3-b157-20f57943c812
7b4d3078-7403-48ac-903e-948176fb1a03,05,May,2024,353,54244d10-5450-4fa3-b157-20f57943c812
62c8a2fe-4e76-4752-8028-f0cf97612992,03,March,2022,12,54244d10-5450-4fa3-b157-20f57943c812
bd7246c0-16ff-422f-9a25-c9a0b72ca1a5,10,October,2023,276,54244d10-5450-4fa3-b157-20f57943c812
f20d3178-18e5-4eb4-8425-b384d5a45e59,02,February,2024,266,54244d10-5450-4fa3-b157-20f57943c812
8aab1e90-1060-4435-9c1d-c22fe0b57c5e,12,December,2022,180,54244d10-5450-4fa3-b157-20f57943c812
42b412b1-fb3f-4bd1-86e9-546b901aea16,02,February,2022,194,54244d10-5450-4fa3-b157-20f57943c812
51c0708d-9351-4040-8958-7754a85aeae8,01,January,2024,180,54244d10-5450-4fa3-b157-20f57943c812
35aaacfd-9ef3-4a8a-9f5d-33dfb35d0834,04,April,2024,476,54244d10-5450-4fa3-b157-20f57943c812
f248375a-4050-41c8-8cfb-e5e9d17dd6aa,07,July,2024,300,54244d10-5450-4fa3-b157-20f57943c812
1148a5e3-130f-422e-9331-fd03ac8e8ee2,02,February,2023,438,54244d10-5450-4fa3-b157-20f57943c812
45afb398-fce6-4732-8c49-85f4112d7534,11,November,2023,24,54244d10-5450-4fa3-b157-20f57943c812
22e204f7-57e9-4a16-9e4f-4083263cf84e,04,April,2024,427,54244d10-5450-4fa3-b157-20f57943c812
ef5d4bec-70c5-4916-b825-2ce7f62378ba,07,July,2023,353,54244d10-5450-4fa3-b157-20f57943c812
40437788-2a5f-4a2e-8d19-280defeeb306,04,April,2023,75,54244d10-5450-4fa3-b157-20f57943c812
29840e0a-6b16-4a80-a152-a4a3d8083a8d,01,January,2022,281,54244d10-5450-4fa3-b157-20f57943c812
4423b386-f4a6-4120-a669-938f1552c721,05,May,2024,280,54244d10-5450-4fa3-b157-20f57943c812
f6fc63dd-3637-439b-8012-93697cf97638,12,December,2022,53,54244d10-5450-4fa3-b157-20f57943c812
e44f4857-986a-43c2-a21e-1113dd7af194,11,November,2024,251,54244d10-5450-4fa3-b157-20f57943c812
41e3e0f4-7a5d-419f-a962-4e91864f649c,01,January,2022,172,54244d10-5450-4fa3-b157-20f57943c812
d3a7ceb7-6dbf-43c1-a895-00e2142483b9,05,May,2024,326,54244d10-5450-4fa3-b157-20f57943c812
c4e6dbc7-0a65-4cdf-826a-21e5e70f8b34,08,August,2023,352,54244d10-5450-4fa3-b157-20f57943c812
383213e0-e919-4c75-8591-2fa24be1b8d2,06,June,2022,209,54244d10-5450-4fa3-b157-20f57943c812
88b17b36-2469-4b9f-8847-8f9e60d30e04,10,October,2023,368,54244d10-5450-4fa3-b157-20f57943c812
c87e0130-f36b-4698-bd14-266ee065d55f,10,October,2024,251,54244d10-5450-4fa3-b157-20f57943c812
b7b3ec42-33c3-4378-a993-19b9632ab690,06,June,2022,450,54244d10-5450-4fa3-b157-20f57943c812
e1e01bb6-0310-49e8-9403-130c8826e2ab,06,June,2024,355,54244d10-5450-4fa3-b157-20f57943c812
5a6682cb-6e73-4da3-ac74-4c8c64bb561d,03,March,2024,422,54244d10-5450-4fa3-b157-20f57943c812
5f52574f-b7ef-4719-9021-7b33ffa20ecd,01,January,2024,6,54244d10-5450-4fa3-b157-20f57943c812
5adf1c0c-7c3b-4949-a25e-5c9182186986,01,January,2023,413,54244d10-5450-4fa3-b157-20f57943c812
9f8d8275-3e2c-4845-812e-9d5214e324bd,05,May,2024,387,54244d10-5450-4fa3-b157-20f57943c812
e3f36e79-85c8-4478-9ca7-9c6ae070b07b,04,April,2023,100,54244d10-5450-4fa3-b157-20f57943c812
0e6e7761-6c6c-4f94-9cfc-988e71feb861,06,June,2022,192,54244d10-5450-4fa3-b157-20f57943c812
cfa9972b-58b5-482f-98ef-fd90fd5d64f8,12,December,2024,427,54244d10-5450-4fa3-b157-20f57943c812
8f6e8dcc-b6de-42bd-b14b-de023567c652,05,May,2023,95,54244d10-5450-4fa3-b157-20f57943c812
6c8f235d-5738-4ad1-a308-4696571f6a99,07,July,2023,397,54244d10-5450-4fa3-b157-20f57943c812
b5f34618-e82f-4311-8090-85f1f3bb4e35,08,August,2024,353,54244d10-5450-4fa3-b157-20f57943c812
d80de437-5e21-43d5-9f4c-9b5067cd0803,03,March,2024,237,54244d10-5450-4fa3-b157-20f57943c812
4e4e98db-ab86-4811-8b8e-c4006b9361cc,02,February,2022,392,54244d10-5450-4fa3-b157-20f57943c812
4e93fab9-5fcb-404f-85cd-9bf73835f2c4,01,January,2023,427,54244d10-5450-4fa3-b157-20f57943c812
459f3fa5-fec0-46e9-ae33-58cfd3681f47,05,May,2022,145,54244d10-5450-4fa3-b157-20f57943c812
e3201f4a-fef0-4798-b671-933e7e478db5,06,June,2023,433,54244d10-5450-4fa3-b157-20f57943c812
5ca2b9ca-d547-48c5-b734-b70416b5643a,12,December,2023,75,54244d10-5450-4fa3-b157-20f57943c812
